Index,Raman_Shift,Intensity,Plastic_type
359,1099.13,131.49,Green_Yarn
360,1101.69,136.702,Green_Yarn
361,1104.24,150.842,Green_Yarn
362,1106.79,162.019,Green_Yarn
363,1109.34,162.493,Green_Yarn
364,1111.89,155.285,Green_Yarn
365,1114.44,150.508,Green_Yarn
366,1116.99,154.558,Green_Yarn
367,1119.54,162.609,Green_Yarn
368,1122.08,162.012,Green_Yarn
369,1124.62,143.653,Green_Yarn
370,1127.17,110.412,Green_Yarn
371,1129.71,74.8065,Green_Yarn
372,1132.25,48.5622,Green_Yarn
373,1134.79,34.3962,Green_Yarn
374,1137.32,27.18,Green_Yarn
375,1139.86,21.7152,Green_Yarn
376,1142.4,18.2172,Green_Yarn
377,1144.93,20.245,Green_Yarn
378,1147.46,28.5059,Green_Yarn
379,1149.99,38.0366,Green_Yarn
380,1152.52,41.8679,Green_Yarn
381,1155.05,36.9847,Green_Yarn
382,1157.58,26.3242,Green_Yarn
383,1160.11,15.3449,Green_Yarn
384,1162.63,7.39193,Green_Yarn
385,1165.16,2.52492,Green_Yarn
386,1167.68,-0.00621033,Green_Yarn
387,1170.21,0.707895,Green_Yarn
388,1172.73,6.95672,Green_Yarn
389,1175.25,19.5584,Green_Yarn
390,1177.77,36.1712,Green_Yarn
391,1180.28,51.989,Green_Yarn
392,1182.8,61.8429,Green_Yarn
393,1185.31,62.5538,Green_Yarn
394,1187.83,54.5225,Green_Yarn
395,1190.34,41.9485,Green_Yarn
396,1192.85,30.9427,Green_Yarn
397,1195.36,25.7559,Green_Yarn
398,1197.87,25.5589,Green_Yarn
399,1200.38,25.0793,Green_Yarn
400,1202.89,19.5684,Green_Yarn
401,1205.4,9.97039,Green_Yarn
402,1207.9,2.93813,Green_Yarn
403,1210.4,4.95427,Green_Yarn
404,1212.91,16.0765,Green_Yarn
405,1215.41,29.7517,Green_Yarn
406,1217.91,39.0148,Green_Yarn
407,1220.41,42.5417,Green_Yarn
408,1222.9,44.1963,Green_Yarn
409,1225.4,47.0092,Green_Yarn
410,1227.9,48.8267,Green_Yarn
411,1230.39,44.8773,Green_Yarn
412,1232.88,34.3435,Green_Yarn
413,1235.38,23.0844,Green_Yarn
414,1237.87,18.7882,Green_Yarn
415,1240.36,23.4543,Green_Yarn
416,1242.85,31.3234,Green_Yarn
417,1245.33,34.4675,Green_Yarn
418,1247.82,29.9614,Green_Yarn
419,1250.3,21.2575,Green_Yarn
420,1252.79,13.2568,Green_Yarn
421,1255.27,7.4395,Green_Yarn
422,1257.75,2.47927,Green_Yarn
423,1260.23,-1.37308,Green_Yarn
424,1262.71,-0.441191,Green_Yarn
425,1265.19,9.16995,Green_Yarn
426,1267.67,25.4101,Green_Yarn
427,1270.15,40.9842,Green_Yarn
428,1272.62,49.1575,Green_Yarn
429,1275.09,49.4978,Green_Yarn
430,1277.57,47.8873,Green_Yarn
431,1280.04,50.8068,Green_Yarn
432,1282.51,59.7364,Green_Yarn
433,1284.98,70.7383,Green_Yarn
434,1287.45,78.6352,Green_Yarn
435,1289.91,81.2033,Green_Yarn
436,1292.38,80.0481,Green_Yarn
437,1294.84,78.7033,Green_Yarn
438,1297.31,80.3384,Green_Yarn
439,1299.77,86.351,Green_Yarn
440,1302.23,95.8368,Green_Yarn
441,1304.69,106.213,Green_Yarn
442,1307.15,115.51,Green_Yarn
443,1309.61,125.098,Green_Yarn
444,1312.06,139.627,Green_Yarn
445,1314.52,162.427,Green_Yarn
446,1316.97,189.683,Green_Yarn
447,1319.43,209.938,Green_Yarn
448,1321.88,211.707,Green_Yarn
449,1324.33,193.588,Green_Yarn
450,1326.78,167.075,Green_Yarn
451,1329.23,148.147,Green_Yarn
452,1331.67,144.69,Green_Yarn
453,1334.12,151.467,Green_Yarn
454,1336.57,157.091,Green_Yarn
455,1339.01,155.443,Green_Yarn
456,1341.45,149.984,Green_Yarn
457,1343.9,147.534,Green_Yarn
458,1346.34,149.447,Green_Yarn
459,1348.78,150.184,Green_Yarn
460,1351.22,144.271,Green_Yarn
461,1353.65,132.981,Green_Yarn
462,1356.09,122.787,Green_Yarn
463,1358.52,117.449,Green_Yarn
464,1360.96,113.208,Green_Yarn
465,1363.39,102.996,Green_Yarn
466,1365.82,85.1442,Green_Yarn
467,1368.25,66.6508,Green_Yarn
468,1370.68,56.8789,Green_Yarn
469,1373.11,58.1075,Green_Yarn
470,1375.54,62.9074,Green_Yarn
471,1377.96,61.0937,Green_Yarn
472,1380.39,49.0594,Green_Yarn
473,1382.81,32.2382,Green_Yarn
474,1385.24,18.9688,Green_Yarn
475,1387.66,12.6525,Green_Yarn
476,1390.08,9.91833,Green_Yarn
477,1392.5,5.58441,Green_Yarn
478,1394.92,-1.55074,Green_Yarn
479,1397.33,-7.89817,Green_Yarn
480,1399.75,-9.23071,Green_Yarn
481,1402.17,-4.97754,Green_Yarn
482,1404.58,1.41833,Green_Yarn
483,1406.99,7.17275,Green_Yarn
484,1409.41,6.41602,Green_Yarn
485,1411.81,3.14543,Green_Yarn
486,1414.22,-0.671106,Green_Yarn
487,1416.63,-2.86777,Green_Yarn
488,1419.04,-1.85119,Green_Yarn
489,1421.45,4.05703,Green_Yarn
490,1423.85,16.854,Green_Yarn
491,1426.26,37.7761,Green_Yarn
492,1428.66,65.3286,Green_Yarn
493,1431.06,94.0159,Green_Yarn
494,1433.46,115.539,Green_Yarn
495,1435.86,122.885,Green_Yarn
496,1438.26,115.324,Green_Yarn
497,1440.66,100.574,Green_Yarn
498,1443.05,91.5026,Green_Yarn
499,1445.45,98.5083,Green_Yarn
500,1447.84,122.606,Green_Yarn
501,1450.24,154.323,Green_Yarn
502,1452.63,179.382,Green_Yarn
503,1455.02,186.999,Green_Yarn
504,1457.41,175.027,Green_Yarn
505,1459.8,149.166,Green_Yarn
506,1462.18,118.164,Green_Yarn
507,1464.57,89.0684,Green_Yarn
508,1466.96,65.158,Green_Yarn
509,1469.34,46.4284,Green_Yarn
510,1471.72,31.1969,Green_Yarn
511,1474.11,17.7872,Green_Yarn
512,1476.49,5.86389,Green_Yarn
513,1478.87,-3.15595,Green_Yarn
514,1481.25,-7.20615,Green_Yarn
515,1483.62,-5.70394,Green_Yarn
516,1486,-0.843086,Green_Yarn
517,1488.38,3.5806,Green_Yarn
518,1490.75,5.13858,Green_Yarn
519,1493.12,4.7118,Green_Yarn
520,1495.5,5.22184,Green_Yarn
521,1497.87,8.19985,Green_Yarn
522,1500.24,11.757,Green_Yarn
523,1502.61,12.3591,Green_Yarn
524,1504.97,8.85009,Green_Yarn
525,1507.34,4.53476,Green_Yarn
526,1509.71,4.80453,Green_Yarn
527,1512.07,12.2809,Green_Yarn
528,1514.43,24.1389,Green_Yarn
529,1516.8,34.3034,Green_Yarn
530,1519.16,38.5115,Green_Yarn
531,1521.52,37.5378,Green_Yarn
532,1523.88,35.8036,Green_Yarn
533,1526.24,37.0406,Green_Yarn
534,1528.59,41.1819,Green_Yarn
535,1530.95,44.9966,Green_Yarn
536,1533.3,45.2343,Green_Yarn
537,1535.66,41.069,Green_Yarn
538,1538.01,34.0277,Green_Yarn
539,1540.36,26.3604,Green_Yarn
540,1542.71,19.8944,Green_Yarn
541,1545.06,16.0594,Green_Yarn
542,1547.41,16.0267,Green_Yarn
543,1549.76,19.9865,Green_Yarn
544,1552.11,26.2391,Green_Yarn
545,1554.45,31.6779,Green_Yarn
546,1556.8,33.9319,Green_Yarn
547,1559.14,33.2611,Green_Yarn
548,1561.48,32.0047,Green_Yarn
549,1563.82,31.7866,Green_Yarn
550,1566.16,31.351,Green_Yarn
551,1568.5,27.6373,Green_Yarn
552,1570.84,19.3188,Green_Yarn
553,1573.18,9.04477,Green_Yarn
554,1575.51,1.58567,Green_Yarn
555,1577.85,-0.592202,Green_Yarn
556,1580.18,0.314949,Green_Yarn
557,1582.51,-0.0399032,Green_Yarn
558,1584.84,-3.18934,Green_Yarn
559,1587.17,-5.83328,Green_Yarn
560,1589.5,-3.28774,Green_Yarn
561,1591.83,5.07894,Green_Yarn
562,1594.16,14.4631,Green_Yarn
563,1596.48,19.2594,Green_Yarn
564,1598.81,19.0568,Green_Yarn
565,1601.13,19.4613,Green_Yarn
566,1603.46,26.4755,Green_Yarn
567,1605.78,40.1104,Green_Yarn
568,1608.1,53.9083,Green_Yarn
569,1610.42,60.8457,Green_Yarn
570,1612.74,59.3567,Green_Yarn
571,1615.06,53.3582,Green_Yarn
572,1617.37,46.9493,Green_Yarn
573,1619.69,40.2461,Green_Yarn
574,1622,31.0863,Green_Yarn
575,1624.32,20.1802,Green_Yarn
576,1626.63,12.9952,Green_Yarn
577,1628.94,15.3329,Green_Yarn
578,1631.25,27.1049,Green_Yarn
579,1633.56,41.5355,Green_Yarn
580,1635.87,51.5243,Green_Yarn
581,1638.17,57.0581,Green_Yarn
582,1640.48,66.0184,Green_Yarn
583,1642.78,87.262,Green_Yarn
584,1645.09,122.455,Green_Yarn
585,1647.39,163.927,Green_Yarn
586,1649.69,199.536,Green_Yarn
587,1652,219.301,Green_Yarn
588,1654.29,218.61,Green_Yarn
589,1656.59,197.738,Green_Yarn
590,1658.89,160.832,Green_Yarn
591,1661.19,115.886,Green_Yarn
592,1663.48,73.6816,Green_Yarn
593,1665.78,43.6262,Green_Yarn
594,1668.07,28.4831,Green_Yarn
595,1670.36,22.9495,Green_Yarn
596,1672.66,18.5025,Green_Yarn
597,1674.95,10.7849,Green_Yarn
598,1677.24,2.74243,Green_Yarn
599,1679.52,0.545685,Green_Yarn
600,1681.81,6.41727,Green_Yarn
601,1684.1,15.5166,Green_Yarn
602,1686.38,19.8868,Green_Yarn
603,1688.67,15.4828,Green_Yarn
604,1690.95,5.53657,Green_Yarn
605,1693.23,-2.60696,Green_Yarn
606,1695.51,-3.82314,Green_Yarn
607,1697.79,1.11033,Green_Yarn
608,1700.07,7.20685,Green_Yarn
609,1702.35,10.0339,Green_Yarn
610,1704.63,9.05591,Green_Yarn
611,1706.9,7.08933,Green_Yarn
612,1709.18,7.08203,Green_Yarn
613,1711.45,9.40243,Green_Yarn
614,1713.72,11.8702,Green_Yarn
615,1716,12.1854,Green_Yarn
616,1718.27,10.4224,Green_Yarn
617,1720.54,9.26648,Green_Yarn
618,1722.81,11.6191,Green_Yarn
619,1725.07,17.5928,Green_Yarn
620,1727.34,23.7616,Green_Yarn
621,1729.61,25.8,Green_Yarn
622,1731.87,22.51,Green_Yarn
623,1734.13,17.5329,Green_Yarn
624,1736.4,16.7231,Green_Yarn
625,1738.66,23.0769,Green_Yarn
626,1740.92,33.6447,Green_Yarn
627,1743.18,41.3849,Green_Yarn
628,1745.44,40.5858,Green_Yarn
629,1747.69,31.3053,Green_Yarn
630,1749.95,19.205,Green_Yarn
631,1752.21,11.1847,Green_Yarn
632,1754.46,10.5711,Green_Yarn
633,1756.71,15.485,Green_Yarn
634,1758.97,21.0452,Green_Yarn
635,1761.22,23.1656,Green_Yarn
636,1763.47,21.0393,Green_Yarn
637,1765.72,16.8843,Green_Yarn
638,1767.96,13.6028,Green_Yarn
639,1770.21,12.3134,Green_Yarn
640,1772.46,11.6698,Green_Yarn
641,1774.7,9.52278,Green_Yarn
642,1776.95,5.5077,Green_Yarn
